NC7H16             2   459.600     6.253     0.000     0.000     1.000 
NC7H16_1           2   459.600     6.253     0.000     0.000     1.000 
NC10H22            2   704.917     6.675     0.000     0.000     1.000
NC10H22_1          2   704.917     6.675     0.000     0.000     1.000          
         
AR                 0   136.500     3.330     0.000     0.000     0.000          
C                  0    71.400     3.298     0.000     0.000     0.000       
HE                 0    10.200     2.576     0.000     0.000     0.000 ! *      
N2                 1    97.530     3.621     0.000     1.760     4.000          
O                  0    80.000     2.750     0.000     0.000     0.000
O2                 1   107.400     3.458     0.000     1.600     3.800          
